Format Version,1.23,Take Name,railsar_final,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 03.48.57.523 PM,Total Frames in Take,10062,Total Exported Frames,10062,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,SAR:Marker1,SAR:Marker1,SAR:Marker1,SAR:Marker2,SAR:Marker2,SAR:Marker2,SAR:Marker3,SAR:Marker3,SAR:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","C9C00","C9C00","C9C00","C93D0","C93D0","C93D0","C9D60","C9D60","C9D60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.097222,-0.005907,-0.002242,0.006472,-0.999959,-5.019166,1.784123,-0.068880,-4.980310,1.780111,-0.005520,-4.987781,1.780209,-0.173194,-5.087567,1.789121,-0.027346
36,0.100000,-0.006125,-0.002760,0.004371,-0.999968,-5.019276,1.784038,-0.068840,-4.980327,1.780048,-0.005513,-4.987742,1.780149,-0.173549,-5.087866,1.790861,-0.027808
37,0.102778,-0.006275,-0.002842,0.006493,-0.999955,-5.019256,1.784157,-0.068837,-4.980319,1.780058,-0.005531,-4.987731,1.780167,-0.173550,-5.087511,1.789132,-0.027325
38,0.105556,-0.005822,-0.001893,0.007359,-0.999954,-5.019195,1.784234,-0.068948,-4.980331,1.780136,-0.005518,-4.987759,1.780291,-0.173179,-5.087768,1.790915,-0.027994
39,0.108333,-0.004114,-0.001909,0.001735,-0.999988,-5.019193,1.784647,-0.068916,-4.980662,1.782395,-0.006469,-4.987160,1.781458,-0.174020,-5.087568,1.789034,-0.027343
40,0.111111,-0.002796,-0.002780,0.002261,-0.999990,-5.019367,1.784576,-0.069042,-4.980611,1.782345,-0.006442,-4.987727,1.780142,-0.173548,-5.087728,1.789186,-0.027604
41,0.113889,-0.006030,-0.002788,0.006163,-0.999959,-5.019360,1.784176,-0.068902,-4.980302,1.780221,-0.005538,-4.987764,1.780207,-0.173170,-5.087775,1.790441,-0.028202
42,0.116667,-0.008107,-0.001266,0.007489,-0.999938,-5.019165,1.784202,-0.068668,-4.980834,1.779074,-0.004982,-4.987183,1.781523,-0.174003,-5.087550,1.789059,-0.027391
43,0.119444,-0.006224,-0.002738,0.006605,-0.999955,-5.019253,1.784164,-0.068822,-4.980303,1.780234,-0.005521,-4.987706,1.780159,-0.173546,-5.087533,1.789199,-0.027347
44,0.122222,-0.001637,-0.002906,0.000038,-0.999995,-5.019362,1.784754,-0.069064,-4.980640,1.782430,-0.006460,-4.987725,1.780230,-0.173533,-5.087731,1.789141,-0.027659
45,0.125000,-0.005793,-0.002351,0.006678,-0.999958,-5.019193,1.784139,-0.068826,-4.980310,1.780168,-0.005541,-4.987761,1.780154,-0.173188,-5.087677,1.789078,-0.027092
