,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker:Marker1,Marker:Marker1,Marker:Marker1,Marker:Marker2,Marker:Marker2,Marker:Marker2,Marker:Marker3,Marker:Marker3,Marker:Marker3,SAR:Marker1,SAR:Marker1,SAR:Marker1,SAR:Marker2,SAR:Marker2,SAR:Marker2,SAR:Marker3,SAR:Marker3,SAR:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","D29767ABAD7A11E97C158CA05683C95","C4A50","C4A50","C4A50","C4B70","C4B70","C4B70","C4B90","C4B90","C4B90","C42B0","C42B0","C42B0","C4310","C4310","C4310","C4420","C4420","C4420"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.055556,-0.007454,0.001298,-0.006518,-0.999950,-5.080029,1.781580,-1.792540,0.057656,0.010863,-0.528963,-0.846614,-1.285650,0.304924,-1.752335,-1.256434,0.309295,-2.025745,-1.310333,0.299216,-1.528848,-1.290196,0.305948,-1.701953,-5.042676,1.777148,-1.729282,-5.048008,1.781576,-1.897340,-5.147957,1.786910,-1.751780
21,0.058333,-0.006928,0.001700,-0.006033,-0.999956,-5.080136,1.781575,-1.792649,0.059140,0.010905,-0.543146,-0.837482,-1.285801,0.304928,-1.752256,-1.255949,0.309865,-2.025715,-1.310408,0.299010,-1.528691,-1.290245,0.305936,-1.701957,-5.042440,1.777245,-1.729236,-5.047929,1.778453,-1.897278,-5.149678,1.786433,-1.752116
22,0.061111,-0.006632,0.000904,-0.004328,-0.999968,-5.079962,1.781673,-1.792580,0.057443,0.010515,-0.527430,-0.847589,-1.285932,0.304753,-1.752357,-1.256597,0.309165,-2.025790,-1.310376,0.299037,-1.528687,-1.290596,0.302915,-1.702845,-5.042402,1.777215,-1.729233,-5.047932,1.778425,-1.897267,-5.149140,1.787004,-1.751763
23,0.063889,-0.006425,0.000345,-0.004340,-0.999970,-5.079814,1.781772,-1.792523,0.052597,0.009343,-0.482733,-0.874137,-1.285851,0.304835,-1.752313,-1.256476,0.309315,-2.025779,-1.310372,0.299017,-1.528686,-1.290197,0.306011,-1.701924,-5.042214,1.777385,-1.729189,-5.047920,1.778397,-1.897315,-5.147891,1.787720,-1.751532
24,0.066667,-0.007289,0.000950,-0.003800,-0.999966,-5.079952,1.781818,-1.792535,0.058710,0.010824,-0.539033,-0.840166,-1.285901,0.304785,-1.752334,-1.256132,0.309580,-2.025646,-1.310370,0.299047,-1.528693,-1.290622,0.302927,-1.702814,-5.042416,1.777246,-1.729247,-5.048029,1.781573,-1.897336,-5.148059,1.787788,-1.751639
25,0.069444,-0.007034,0.001038,-0.006712,-0.999952,-5.079900,1.781539,-1.792514,0.057500,0.010460,-0.527613,-0.847472,-1.285917,0.304747,-1.752336,-1.256592,0.309152,-2.025737,-1.310353,0.299022,-1.528683,-1.290596,0.302903,-1.702802,-5.042440,1.777191,-1.729247,-5.047768,1.778744,-1.896986,-5.149050,1.787558,-1.752085
26,0.072222,-0.006844,0.001379,-0.002756,-0.999972,-5.079989,1.781800,-1.792523,0.064009,0.011539,-0.588223,-0.806079,-1.285903,0.304724,-1.752371,-1.256598,0.309131,-2.025781,-1.310386,0.299011,-1.528689,-1.290635,0.302884,-1.702839,-5.042449,1.777194,-1.729247,-5.047763,1.778670,-1.897008,-5.147902,1.787742,-1.751510
27,0.075000,-0.007112,0.000475,-0.004270,-0.999965,-5.079822,1.781803,-1.792508,0.056457,0.010093,-0.517333,-0.853860,-1.285992,0.304690,-1.752380,-1.256517,0.309202,-2.025755,-1.310365,0.299225,-1.528838,-1.290553,0.302894,-1.702824,-5.042217,1.777262,-1.729235,-5.049616,1.780541,-1.898322,-5.147890,1.787694,-1.751559
28,0.077778,-0.007245,0.001383,-0.004168,-0.999964,-5.079900,1.781791,-1.792513,0.055000,0.010171,-0.503796,-0.862010,-1.285683,0.304846,-1.752342,-1.256157,0.309580,-2.025659,-1.310322,0.299173,-1.528786,-1.290389,0.303310,-1.702893,-5.042674,1.777145,-1.729322,-5.047757,1.781662,-1.897166,-5.149053,1.787255,-1.751920
29,0.080556,-0.007922,0.001074,-0.001981,-0.999966,-5.079990,1.781521,-1.792512,0.057560,0.010337,-0.527887,-0.847299,-1.285977,0.304704,-1.752312,-1.256466,0.309010,-2.025905,-1.310523,0.299654,-1.529084,-1.290606,0.302940,-1.702805,-5.042836,1.777080,-1.729270,-5.047955,1.778367,-1.897258,-5.149050,1.787087,-1.751899
