Format Version,1.23,Take Name,Radar_3,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 04.25.32.538 PM,Total Frames in Take,9628,Total Exported Frames,9628,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1141,Unlabeled 1141,Unlabeled 1141
,ID,"8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","CF3B0","CF3B0","CF3B0","CF390","CF390","CF390","CF3D0","CF3D0","CF3D0","CF410","CF410","CF410","CF450","CF450","CF450"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,0.127778,0.000235,-0.001899,-0.083075,-0.996541,-4.997451,1.782084,-0.036355,-4.984034,1.782725,0.047914,-4.988807,1.781542,-0.115630,-5.019223,1.780047,-0.042332,,,,,,
47,0.130556,-0.000458,-0.001599,-0.076077,-0.997101,-4.997535,1.782108,-0.036301,-4.984097,1.782887,0.047566,-4.988852,1.781517,-0.115596,-5.019161,1.780179,-0.042428,,,,,,
48,0.133333,-0.000448,-0.002010,-0.074974,-0.997183,-4.997461,1.782114,-0.036302,-4.983831,1.781293,0.048750,-4.988820,1.781543,-0.115601,-5.019507,1.779866,-0.042380,,,,,,
49,0.136111,-0.000180,-0.002329,-0.080580,-0.996746,-4.997350,1.782095,-0.036276,-4.983964,1.782441,0.048046,-4.988847,1.781521,-0.115596,-5.018986,1.780240,-0.042282,,,,,,
50,0.138889,-0.000506,-0.002405,-0.080330,-0.996765,-4.997407,1.781996,-0.036278,-4.983822,1.781313,0.048721,-4.988833,1.781479,-0.115601,-5.019532,1.779884,-0.042376,,,,,,
51,0.141667,-0.001095,-0.002429,-0.082265,-0.996607,-4.997409,1.782010,-0.036169,-4.983427,1.781394,0.048380,-4.988962,1.781517,-0.115765,-5.019510,1.779863,-0.042350,,,,,,
52,0.144444,-0.000883,-0.002423,-0.081879,-0.996639,-4.997397,1.782042,-0.036184,-4.983407,1.781363,0.048365,-4.988933,1.781497,-0.115757,-5.019243,1.780063,-0.042327,,,,,,
53,0.147222,-0.000207,-0.001381,-0.075505,-0.997145,-4.997525,1.782109,-0.036289,-4.984140,1.782921,0.047556,-4.988948,1.781473,-0.115759,-5.019538,1.779838,-0.042375,,,,,,
54,0.150000,-0.000542,-0.002216,-0.079720,-0.996815,-4.997390,1.781967,-0.036264,-4.983407,1.781301,0.048375,-4.988928,1.781511,-0.115774,-5.019523,1.779879,-0.042356,,,,,,
55,0.152778,-0.000132,-0.002117,-0.073053,-0.997326,-4.997353,1.782203,-0.036329,-4.983821,1.781297,0.048730,-4.988935,1.781539,-0.115797,-5.018964,1.780262,-0.042315,,,,,,
