,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker3,Right Reflector:Marker3,Right Reflector:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","CB540","CB540","CB540","CB600","CB600","CB600","CD6A0","CD6A0","CD6A0","CD560","CD560","CD560","CD590","CD590","CD590","CD5B0","CD5B0","CD5B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.052778,,,,,,,,0.001792,-0.000765,-0.051207,-0.998686,-5.014228,1.781706,-0.503041,0.245706,0.022180,-0.636921,0.730389,-0.998347,0.302406,-0.111611,-5.000832,1.782890,-0.417901,-5.005439,1.780278,-0.582558,-5.034966,1.779984,-0.508460,-0.918304,0.310544,-0.322208,-0.979100,0.302238,-0.158341,-1.097317,0.293605,0.143951
20,0.055556,,,,,,,,-0.001286,-0.000312,-0.078038,-0.996949,-5.014212,1.780820,-0.503233,0.232823,0.021122,-0.605393,0.760820,-0.998417,0.302358,-0.111876,-5.000850,1.781470,-0.418671,-5.005412,1.780321,-0.582559,-5.036300,1.778981,-0.509382,-0.917359,0.309660,-0.322545,-0.979935,0.303187,-0.158971,-1.097328,0.293773,0.143744
21,0.058333,,,,,,,,-0.000790,0.000329,-0.033167,-0.999449,-5.014265,1.781873,-0.503359,-0.196259,-0.016687,0.508328,0.838336,-0.998303,0.302516,-0.112023,-5.000822,1.781498,-0.418627,-5.005421,1.780241,-0.582535,-5.035527,1.783400,-0.509172,-0.917203,0.309456,-0.322876,-0.980375,0.304043,-0.159610,-1.096688,0.293430,0.143261
22,0.061111,,,,,,,,-0.001314,-0.000442,-0.068611,-0.997643,-5.014215,1.781240,-0.503134,0.203883,0.018555,-0.529783,0.823053,-0.998195,0.302261,-0.111909,-5.000820,1.781553,-0.418649,-5.005420,1.780271,-0.582556,-5.034988,1.779889,-0.508469,-0.917445,0.309418,-0.322677,-0.979366,0.302489,-0.158147,-1.097293,0.293754,0.143748
23,0.063889,,,,,,,,-0.000553,-0.000500,-0.065055,-0.997882,-5.014222,1.781118,-0.503138,0.258803,0.023113,-0.671553,0.693905,-0.998344,0.302179,-0.111610,-5.000837,1.781443,-0.418647,-5.005446,1.780302,-0.582576,-5.034978,1.779875,-0.508437,-0.917393,0.309496,-0.322675,-0.979924,0.302567,-0.158348,-1.097320,0.293623,0.143987
24,0.066667,,,,,,,,-0.002220,-0.000675,-0.067576,-0.997711,-5.014205,1.781163,-0.503157,0.251895,0.022450,-0.653524,0.713409,-0.998288,0.302481,-0.111972,-5.000957,1.781260,-0.418987,-5.005457,1.780305,-0.582537,-5.034970,1.779892,-0.508460,-0.917177,0.309548,-0.322813,-0.979739,0.303314,-0.159154,-1.097238,0.293658,0.143838
25,0.069444,,,,,,,,-0.001771,-0.000461,-0.068617,-0.997641,-5.014207,1.781160,-0.503136,-0.194046,-0.016751,0.503107,0.841991,-0.998331,0.302538,-0.112022,-5.000976,1.781336,-0.419006,-5.005424,1.780246,-0.582537,-5.034988,1.779834,-0.508472,-0.917151,0.309608,-0.322819,-0.980642,0.304128,-0.159708,-1.097324,0.293733,0.143724
26,0.072222,,,,,,,,-0.000156,-0.001458,-0.073990,-0.997258,-5.013885,1.781104,-0.503016,0.174235,0.016103,-0.453333,0.873998,-0.998286,0.302291,-0.111937,-5.000552,1.781867,-0.417952,-5.005430,1.780275,-0.582577,-5.034989,1.779879,-0.508462,-0.917535,0.308724,-0.323297,-0.979480,0.302736,-0.157890,-1.097323,0.293825,0.143722
27,0.075000,,,,,,,,0.000193,-0.000299,-0.071916,-0.997411,-5.014276,1.781374,-0.503187,-0.119408,-0.010106,0.310549,0.942973,-0.998283,0.302542,-0.111701,-5.000896,1.782764,-0.418464,-5.005434,1.780284,-0.582536,-5.035102,1.779822,-0.508841,-0.917211,0.309545,-0.322827,-0.979599,0.305163,-0.157493,-1.097777,0.292422,0.145080
28,0.077778,,,,,,,,-0.001918,-0.000590,-0.066476,-0.997786,-5.014204,1.781108,-0.503144,-0.123204,-0.010034,0.318779,0.939734,-0.998376,0.302210,-0.111853,-5.000947,1.781169,-0.419011,-5.005444,1.780225,-0.582579,-5.035478,1.779317,-0.508977,-0.917535,0.308647,-0.323224,-0.980430,0.303956,-0.159583,-1.097821,0.292403,0.145062
